bioguideId,depiction,district,name,partyName,state,terms,updateDate,url
G000590,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/g000590_200.jpg""}",7,"Green, Mark E.",Republican,Tennessee,"{""item"": [{""chamber"": ""House of Representatives"", ""endYear"": 2025, ""startYear"": 2019}]}",2025-07-22T11:24:37Z,https://api.congress.gov/v3/member/G000590?format=json
C000488,"{""attribution"": ""Collection of the U.S. House of Representatives"", ""imageUrl"": ""https://www.congress.gov/img/member/c000488_200.jpg""}",1,"Clay, William (Bill)",Democratic,Missouri,"{""item"": [{""chamber"": ""House of Representatives"", ""endYear"": 2001, ""startYear"": 1969}]}",2025-07-18T12:34:17Z,https://api.congress.gov/v3/member/C000488?format=json
M001233,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/677448630b34857ecc909125_200.jpg""}",8,"Messmer, Mark B.",Republican,Indiana,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2025}]}",2025-07-14T14:25:50Z,https://api.congress.gov/v3/member/M001233?format=json
M000309,"{""attribution"": ""Collection of the U.S. House of Representatives"", ""imageUrl"": ""https://www.congress.gov/img/member/m000309_200.jpg""}",4,"McCarthy, Carolyn",Democratic,New York,"{""item"": [{""chamber"": ""House of Representatives"", ""endYear"": 2015, ""startYear"": 1997}]}",2025-06-27T11:45:39Z,https://api.congress.gov/v3/member/M000309?format=json
W000520,"{""attribution"": ""Collection of the U.S. House of Representatives, Gift of the U.S. Association of Former Members of Congress"", ""imageUrl"": ""https://www.congress.gov/img/member/w000520_200.jpg""}",,"Williams, Pat",Democratic,Montana,"{""item"": [{""chamber"": ""House of Representatives"", ""endYear"": 1997, ""startYear"": 1979}]}",2025-06-26T18:44:31Z,https://api.congress.gov/v3/member/W000520?format=json
F000460,"{""attribution"": ""Collection of the U.S. House of Representatives"", ""imageUrl"": ""https://www.congress.gov/img/member/f000460_200.jpg""}",27,"Farenthold, Blake",Republican,Texas,"{""item"": [{""chamber"": ""House of Representatives"", ""endYear"": 2018, ""startYear"": 2011}]}",2025-06-23T14:10:40Z,https://api.congress.gov/v3/member/F000460?format=json
N000019,"{""attribution"": ""Congressional Pictorial Directory, 92nd Congress"", ""imageUrl"": ""https://www.congress.gov/img/member/n000019_200.jpg""}",14,"Nedzi, Lucien N.",Democratic,Michigan,"{""item"": [{""chamber"": ""House of Representatives"", ""endYear"": 1981, ""startYear"": 1961}]}",2025-06-18T17:52:12Z,https://api.congress.gov/v3/member/N000019?format=json
R000617,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/684c2356333714e4aee2e1fd_200.jpg""}",3,"Ramirez, Delia C.",Democratic,Illinois,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2023}]}",2025-06-13T13:48:04Z,https://api.congress.gov/v3/member/R000617?format=json
S001232,"{""attribution"": ""Official U.S. Senate Photo"", ""imageUrl"": ""https://www.congress.gov/img/member/677d8231fdb6cf36bbb6498b_200.jpg""}",,"Sheehy, Tim",Republican,Montana,"{""item"": [{""chamber"": ""Senate"", ""startYear"": 2025}]}",2025-06-07T10:30:29Z,https://api.congress.gov/v3/member/S001232?format=json
L000570,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/l000570_200.jpg""}",,"Luján, Ben Ray",Democratic,New Mexico,"{""item"": [{""chamber"": ""House of Representatives"", ""endYear"": 2021, ""startYear"": 2009}, {""chamber"": ""Senate"", ""startYear"": 2021}]}",2025-06-03T13:18:42Z,https://api.congress.gov/v3/member/L000570?format=json
H001089,"{""imageUrl"": ""https://www.congress.gov/img/member/h001089_200.jpg""}",,"Hawley, Josh",Republican,Missouri,"{""item"": [{""chamber"": ""Senate"", ""startYear"": 2019}]}",2025-05-28T10:30:24Z,https://api.congress.gov/v3/member/H001089?format=json
R000053,"{""attribution"": ""Collection of the U.S. House of Representatives <a href=\""http://history.house.gov/Collection/Detail/30753?ret=True\"">About this object</a>"", ""imageUrl"": ""https://www.congress.gov/img/member/r000053_200.jpg""}",13,"Rangel, Charles B.",Democratic,New York,"{""item"": [{""chamber"": ""House of Representatives"", ""endYear"": 2017, ""startYear"": 1971}]}",2025-05-27T11:30:49Z,https://api.congress.gov/v3/member/R000053?format=json
W000800,"{""attribution"": ""Official U.S. Senate Photo"", ""imageUrl"": ""https://www.congress.gov/img/member/fd3cb364b8bf93c25834cff750637802_200.jpg""}",,"Welch, Peter",Democratic,Vermont,"{""item"": [{""chamber"": ""House of Representatives"", ""endYear"": 2023, ""startYear"": 2007}, {""chamber"": ""Senate"", ""startYear"": 2023}]}",2025-05-24T10:30:30Z,https://api.congress.gov/v3/member/W000800?format=json
C001078,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/c001078_200.jpg""}",11,"Connolly, Gerald E.",Democratic,Virginia,"{""item"": [{""chamber"": ""House of Representatives"", ""endYear"": 2025, ""startYear"": 2009}]}",2025-05-21T13:36:20Z,https://api.congress.gov/v3/member/C001078?format=json
M001242,"{""attribution"": ""Official U.S. Senate Photo"", ""imageUrl"": ""https://www.congress.gov/img/member/67c8694e6159152e59828afb_200.jpg""}",,"Moreno, Bernie",Republican,Ohio,"{""item"": [{""chamber"": ""Senate"", ""startYear"": 2025}]}",2025-05-17T10:30:27Z,https://api.congress.gov/v3/member/M001242?format=json
B000611,"{""attribution"": ""<a href=\""http://www.senate.gov/artandhistory/history/common/generic/Photo_Collection_of_the_Senate_Historical_Office.htm\"">Courtesy U.S. Senate Historical Office</a>"", ""imageUrl"": ""https://www.congress.gov/img/member/b000611_200.jpg""}",,"Bond, Christopher S.",Republican,Missouri,"{""item"": [{""chamber"": ""Senate"", ""endYear"": 2011, ""startYear"": 1987}]}",2025-05-14T12:56:30Z,https://api.congress.gov/v3/member/B000611?format=json
M001229,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/681dfed94fc893ce843e24b8_200.jpg""}",10,"McIver, LaMonica",Democratic,New Jersey,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2024}]}",2025-05-09T13:45:32Z,https://api.congress.gov/v3/member/M001229?format=json
H001085,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/681bc0e6b763f94d6e471f50_200.jpg""}",6,"Houlahan, Chrissy",Democratic,Pennsylvania,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2019}]}",2025-05-08T13:36:39Z,https://api.congress.gov/v3/member/H001085?format=json
M001244,,,"Moody, Ashley",Republican,Florida,"{""item"": [{""chamber"": ""Senate"", ""startYear"": 2025}]}",2025-05-07T10:42:23Z,https://api.congress.gov/v3/member/M001244?format=json
M000566,"{""attribution"": ""Collection of the U.S. House of Representatives"", ""imageUrl"": ""https://www.congress.gov/img/member/m000566_200.jpg""}",9,"McMillan, J. Alex",Republican,North Carolina,"{""item"": [{""chamber"": ""House of Representatives"", ""endYear"": 1995, ""startYear"": 1985}]}",2025-05-06T11:16:14Z,https://api.congress.gov/v3/member/M000566?format=json
S001101,"{""attribution"": ""Collection of the U.S. House of Representatives"", ""imageUrl"": ""https://www.congress.gov/img/member/s001101_200.jpg""}",14,"Sweeney, David McCann",Republican,Texas,"{""item"": [{""chamber"": ""House of Representatives"", ""endYear"": 1989, ""startYear"": 1985}]}",2025-05-05T18:04:01Z,https://api.congress.gov/v3/member/S001101?format=json
F000116,"{""attribution"": ""Collection of the U.S. House of Representatives"", ""imageUrl"": ""https://www.congress.gov/img/member/f000116_200.jpg""}",51,"Filner, Bob",Democratic,California,"{""item"": [{""chamber"": ""House of Representatives"", ""endYear"": 2013, ""startYear"": 1993}]}",2025-05-02T17:09:53Z,https://api.congress.gov/v3/member/F000116?format=json
M001226,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/681231f6246d1b6bd8d9f6b4_200.jpg""}",8,"Menendez, Robert",Democratic,New Jersey,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2023}]}",2025-04-30T18:14:58Z,https://api.congress.gov/v3/member/M001226?format=json
F000477,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/68122e57246d1b6bd8d9f6ab_200.jpg""}",4,"Foushee, Valerie P.",Democratic,North Carolina,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2023}]}",2025-04-30T14:39:33Z,https://api.congress.gov/v3/member/F000477?format=json
T000488,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/68122bf2246d1b6bd8d9f6a2_200.jpg""}",13,"Thanedar, Shri",Democratic,Michigan,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2023}]}",2025-04-30T14:37:55Z,https://api.congress.gov/v3/member/T000488?format=json
P000622,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/67efdb991b05a5a598f7fde9_200.jpg""}",1,"Patronis, Jimmy",Republican,Florida,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2025}]}",2025-04-28T13:06:19Z,https://api.congress.gov/v3/member/P000622?format=json
F000484,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/67efda8c1b05a5a598f7fde0_200.jpg""}",6,"Fine, Randy",Republican,Florida,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2025}]}",2025-04-28T13:06:19Z,https://api.congress.gov/v3/member/F000484?format=json
S001221,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/s001221_200.jpg""}",3,"Scholten, Hillary J.",Democratic,Michigan,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2023}]}",2025-04-28T13:06:18Z,https://api.congress.gov/v3/member/S001221?format=json
J000299,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/67ffcb2af22eaf56065817c4_200.jpg""}",4,"Johnson, Mike",Republican,Louisiana,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2017}]}",2025-04-28T13:05:21Z,https://api.congress.gov/v3/member/J000299?format=json
R000621,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/67745dcf0b34857ecc909173_200.jpg""}",6,"Randall, Emily",Democratic,Washington,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2025}]}",2025-04-28T13:04:28Z,https://api.congress.gov/v3/member/R000621?format=json
M001235,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/677449fd0b34857ecc909131_200.jpg""}",2,"Moore, Riley M.",Republican,West Virginia,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2025}]}",2025-04-28T13:04:28Z,https://api.congress.gov/v3/member/M001235?format=json
B001322,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/6774212e0b34857ecc90903a_200.jpg""}",5,"Baumgartner, Michael",Republican,Washington,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2025}]}",2025-04-28T13:04:28Z,https://api.congress.gov/v3/member/B001322?format=json
W000829,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/6734b6724c72e343a6aff9e6_200.jpg""}",8,"Wied, Tony",Republican,Wisconsin,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2024}]}",2025-04-28T13:04:28Z,https://api.congress.gov/v3/member/W000829?format=json
V000135,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/v000135_200.jpg""}",3,"Van Orden, Derrick",Republican,Wisconsin,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2023}]}",2025-04-28T13:04:28Z,https://api.congress.gov/v3/member/V000135?format=json
G000600,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/g000600_200.jpg""}",3,"Perez, Marie Gluesenkamp",Democratic,Washington,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2023}]}",2025-04-28T13:04:28Z,https://api.congress.gov/v3/member/G000600?format=json
H001096,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/h001096_200.jpg""}",,"Hageman, Harriet M.",Republican,Wyoming,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2023}]}",2025-04-28T13:04:28Z,https://api.congress.gov/v3/member/H001096?format=json
B001318,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/b001318_200.jpg""}",,"Balint, Becca",Democratic,Vermont,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2023}]}",2025-04-28T13:04:28Z,https://api.congress.gov/v3/member/B001318?format=json
S001159,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/s001159_200.jpg""}",10,"Strickland, Marilyn",Democratic,Washington,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2021}]}",2025-04-28T13:04:28Z,https://api.congress.gov/v3/member/S001159?format=json
F000471,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/f000471_200.jpg""}",5,"Fitzgerald, Scott",Republican,Wisconsin,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2021}]}",2025-04-28T13:04:28Z,https://api.congress.gov/v3/member/F000471?format=json
T000165,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/t000165_200.jpg""}",7,"Tiffany, Thomas P.",Republican,Wisconsin,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2020}]}",2025-04-28T13:04:28Z,https://api.congress.gov/v3/member/T000165?format=json
M001205,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/m001205_200.jpg""}",1,"Miller, Carol D.",Republican,West Virginia,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2019}]}",2025-04-28T13:04:28Z,https://api.congress.gov/v3/member/M001205?format=json
S001213,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/s001213_200.jpg""}",1,"Steil, Bryan",Republican,Wisconsin,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2019}]}",2025-04-28T13:04:28Z,https://api.congress.gov/v3/member/S001213?format=json
S001216,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/s001216_200.jpg""}",8,"Schrier, Kim",Democratic,Washington,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2019}]}",2025-04-28T13:04:28Z,https://api.congress.gov/v3/member/S001216?format=json
J000298,"{""attribution"": ""Congressional Pictorial Directory"", ""imageUrl"": ""https://www.congress.gov/img/member/116_rp_wa_7_jayapal_pramila_200.jpg""}",7,"Jayapal, Pramila",Democratic,Washington,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2017}]}",2025-04-28T13:04:28Z,https://api.congress.gov/v3/member/J000298?format=json
G000576,"{""attribution"": ""Congressional Pictorial Directory"", ""imageUrl"": ""https://www.congress.gov/img/member/116_rp_wi_6_grothman_glenn_200.jpg""}",6,"Grothman, Glenn",Republican,Wisconsin,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2015}]}",2025-04-28T13:04:28Z,https://api.congress.gov/v3/member/G000576?format=json
N000189,"{""attribution"": ""Congressional Pictorial Directory"", ""imageUrl"": ""https://www.congress.gov/img/member/116_rp_wa_4_newhouse_dan_200.jpg""}",4,"Newhouse, Dan",Republican,Washington,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2015}]}",2025-04-28T13:04:28Z,https://api.congress.gov/v3/member/N000189?format=json
P000610,"{""attribution"": ""Congressional Pictorial Directory"", ""imageUrl"": ""https://www.congress.gov/img/member/116_dg_vi_plaskett_stacey_200.jpg""}",,"Plaskett, Stacey E.",Democratic,Virgin Islands,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2015}]}",2025-04-28T13:04:28Z,https://api.congress.gov/v3/member/P000610?format=json
P000607,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/p000607_200.jpg""}",2,"Pocan, Mark",Democratic,Wisconsin,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2013}]}",2025-04-28T13:04:28Z,https://api.congress.gov/v3/member/P000607?format=json
D000617,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/d000617_200.jpg""}",1,"DelBene, Suzan K.",Democratic,Washington,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2012}]}",2025-04-28T13:04:28Z,https://api.congress.gov/v3/member/D000617?format=json
S000510,"{""attribution"": ""Congressional Pictorial Directory"", ""imageUrl"": ""https://www.congress.gov/img/member/116_rp_wa_9_smith_adam_200.jpg""}",9,"Smith, Adam",Democratic,Washington,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 1997}]}",2025-04-28T13:04:28Z,https://api.congress.gov/v3/member/S000510?format=json
M001160,"{""attribution"": ""Congressional Pictorial Directory"", ""imageUrl"": ""https://www.congress.gov/img/member/116_rp_wi_4_moore_gwen_200.jpg""}",4,"Moore, Gwen",Democratic,Wisconsin,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2005}]}",2025-04-28T13:04:28Z,https://api.congress.gov/v3/member/M001160?format=json
L000560,"{""attribution"": ""Congressional Pictorial Directory"", ""imageUrl"": ""https://www.congress.gov/img/member/116_rp_wa_2_larsen_rick_200.jpg""}",2,"Larsen, Rick",Democratic,Washington,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2001}]}",2025-04-28T13:04:28Z,https://api.congress.gov/v3/member/L000560?format=json
V000138,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/6774617a0b34857ecc9091b5_200.jpg""}",7,"Vindman, Eugene Simon",Democratic,Virginia,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2025}]}",2025-04-28T13:04:27Z,https://api.congress.gov/v3/member/V000138?format=json
S001230,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/6797be8bc75fbc6f720e476a_200.jpg""}",10,"Subramanyam, Suhas",Democratic,Virginia,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2025}]}",2025-04-28T13:04:27Z,https://api.congress.gov/v3/member/S001230?format=json
M001239,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/67744ba20b34857ecc909149_200.jpg""}",5,"McGuire, John J.",Republican,Virginia,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2025}]}",2025-04-28T13:04:27Z,https://api.congress.gov/v3/member/M001239?format=json
K000403,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/67742e7c0b34857ecc9090f5_200.jpg""}",3,"Kennedy, Mike",Republican,Utah,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2025}]}",2025-04-28T13:04:27Z,https://api.congress.gov/v3/member/K000403?format=json
J000310,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/67742df60b34857ecc9090e9_200.jpg""}",32,"Johnson, Julie",Democratic,Texas,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2025}]}",2025-04-28T13:04:27Z,https://api.congress.gov/v3/member/J000310?format=json
G000603,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/677428ac0b34857ecc9090b3_200.jpg""}",26,"Gill, Brandon",Republican,Texas,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2025}]}",2025-04-28T13:04:27Z,https://api.congress.gov/v3/member/G000603?format=json
M001228,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/m001228_200.jpg""}",2,"Maloy, Celeste",Republican,Utah,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2023}]}",2025-04-28T13:04:27Z,https://api.congress.gov/v3/member/M001228?format=json
M001227,"{""attribution"": ""Image courtesy of the Member"", ""imageUrl"": ""https://www.congress.gov/img/member/m001227_200.jpg""}",4,"McClellan, Jennifer L.",Democratic,Virginia,"{""item"": [{""chamber"": ""House of Representatives"", ""startYear"": 2023}]}",2025-04-28T13:04:27Z,https://api.congress.gov/v3/member/M001227?format=json
